unique_id,Agency Name,Site Name,Service Name,Service Name (2),Address,Site City,Site Postal Code,Application,Crisis_Phone,Description (Service),Eligibility,E_Mail,Hours,Languages,Office_Phone,Primary_Contact,Primary_Contact_Email,Toll_Free_Phone,Website,Taxonomy,Fees,Funding,DD Code,Physical Access,Category,FSA
14,MCIS Language Solutions,MCIS Language Solutions,MCIS Toll-Free Help Line,,"789 Don Mills Rd, Suite 1010 Toronto, ON M3C 1T5",Toronto,M3C 1T5,Call,,"Telephone support line and document translation service * information on consular, travel, and financial assistance","Family and friends of the victims of flight PS752, and Canadians in Iran and Ukraine who need to communicate with the Federal Government of Canada",,Mon-Sun 24 hours,English ; French ; Dari ; Farsi ; Swedish ; Ukrainian,,,,1-833-865-8517,us2.campaign-archive.com/?u=9bb9efc5151612f4922acd028&id=780867e688,Interpretation/Translation ~ Iranian Community ; Interpretation/Translation ~ Ukrainian Community,None,,Multicultural,Not Applicable,Community Services,M3C 
15,BBYO Ontario,BBYO Ontario,BBYO Ontario,,"Prosserman Jewish Community Centre 4588 Bathurst St, Unit 1-22 Toronto, ON M2R 1W6",Toronto,M2R 1W6,Call for information,,"Social, athletic, cultural and religious activities * summer leadership camp * youth plan their own programs with adult advisors developing leadership, public speaking and community organizing skills * Jewish environment",Jewish students in grades 6-12,info@bbyo.ca,Office -- Mon-Thu 10 am-5 pm * program hours vary,English,416-398-2004,,,,www.bbyo.ca,Cultural Heritage Programs ~ Jewish Community ; General Recreational Activities/Sports ~ Youth ~ Jewish Community ; Leadership Development ~ Youth ~ Jewish Community ; Residential Camps ~ Adolescents ~ Jewish Community,"Program fees vary, subsidies may be available",,Multicultural,Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Elevator with braille and voice/tone features ; Barrier-free washroom including door and stall,Community Services,M2R 
16,Good Shepherd Ministries,Barrett House,Barrett House,,"35 Sydenham St Toronto, ON M5A 4H5",Toronto,M5A 4H5,"Referral by social service agency, hospital, doctor or self",,Residence * staffed 24 hours * meals * barrier free environment * capacity 5,Ages: 18 year(s) and up Persons 18 years and older living with HIV/AIDS who are formerly homeless and/or unsupported,info@goodshepherd.ca,Call for hours,English,416-869-3619,"Aklilu Wendaferew, Assistant Executive Director",,,www.goodshepherd.ca,Supportive Housing for People with Disabilities ~ AIDS/HIV,Rents geared to income,,Community Services (General),Wheelchair accessible building at rear entrance * street parking close to entrance,Community Services,M5A 
17,Speech and Stuttering Institute,Speech and Stuttering Institute,Speech and Stuttering Institute,,"150 Duncan Mill Rd, Unit 2 Toronto, ON M3B 3M4",Toronto,M3B 3M4,Self referral available -- contact Intake Coordinator for details,,Speech programs for children 3-8 years * stuttering programs for children 3-12 years * intensive 3 week stuttering program for adolescents and adults * professional training programs in motor speech and in fluency * research,Varies by program * see description for details,info@speechandstuttering.com,Mon-Fri 8:30 am-4:30 pm,English ; French,416-491-7771,"Teri Madio, Intake Coordinator; Phone: 416-491-7771 ext 224; Email: terim@speechandstuttering.com",terim@speechandstuttering.com,,www.speechandstuttering.com,Biological and Life Sciences Research ~ Developmental Issues ; Professional Skills Development Support ~ Rehabilitation Personnel ; Speech and Language Pathology ; Speech and Language Pathology ~ Children,"Fees vary for children's speech and stuttering programs, and intensive program for adolescents and adults, call for details or visit website * scholarships may be available to those who qualify",,Children and Youth,Designated parking at entrance ; Barrier-free washroom including door and stall ; Wheelchair accessible main entrance,Community Services,M3B 
18,New Circles Community Services,New Circles Community Services,New Circles Community Services,,"161 Bartley Dr Toronto, ON M4A 1E6",Toronto,M4A 1E6,Call for appointment,,"Gently used and new clothing -- by appointment only Employment skills training -- certificate programs in retail, customer service and business office administration Settlement Support Program -- information, counselling and referral * needs and eligibility assessments * assistance to complete forms including social assistance * housing assistance Sewing and Craft Circle -- to make connections, practice language skills Volunteer opportunities -- gain work experience, new language skills, meet new friends, volunteer@newcircles.ca","Low income individuals and families, seniors, newcomers, women, youth * individuals living outside catchment area may access service on two-time basis -- referral from an external social service agency required",info@newcircles.ca,"Mon-Wed 9 am-5 pm, Thu 9 am-7 pm, Fri 9 am-5 pm",English ; Bengali ; Dari ; Farsi ; Hindi ; Polish ; Spanish ; Swahili ; Urdu,416-422-2591,,,,www.newcircles.ca,Certificates/Forms Assistance ~ Immigrants/Refugees ; Cultural Transition Counselling ; General Clothing Provision ; Housing Search Assistance ~ Immigrants/Refugees ; Neighbourhood Multipurpose Centres ; Newcomer Settlement Services ; Occupation Specific Job Training ~ Organizational Management/Administration Occupations ; Occupation Specific Job Training ~ Sales and Related Occupations ; Specialized Information and Referral ~ Immigrants/Refugees ; Volunteer Opportunities,None,,Community Services (General),"Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Wheelchair accessible washroom, assistance needed with door",Community Services,M4A 
19,Bernard Betel Centre,Bernard Betel Centre,Bernard Betel Centre,,"1003 Steeles Ave W Toronto, ON M2R 3T6",Toronto,M2R 3T6,"Call, come in-person or visit website for information",,"Community support and outreach -- friendly visiting, at-home respite care, service navigation, social work clinics * Safe Option Program -- case management and crisis intervention for seniors experiencing abuse Food Services, catering, facility rental and Kosher meals on wheel -- volunteers deliver complete meals, cold for regular days and frozen for long weekends * Café Europa -- luncheon program for Holocaust Survivors Health Promotion and Wellness -- health screening clinics, fitness and dance classes, weekly wellness lectures, nutritious programs, support groups * chiropody clinic Recreation and Education -- lifelong learning lectures, arts and crafts, library, concerts, music programs, games, literary arts, discussion groups ETROG Hebrew program -- weekly programs in Hebrew Russian golden age cultural program Computer and Digital Media -- weekly programs in Russian for all levels including courses on social media, Microsoft office, digital media, iPhone, Android, iPad, photography",Ages: 55 year(s) and up Older adults 55 years and older,reception@betelcentre.org,"Mon-Tue 8:30 am-4:30 pm, Wed 8:30-7 pm, Thu 8:30 am-9 pm, Fri 8:30 am-4 pm, Sun 8:30 am-4 pm",English ; French - Conversation Club ; Hebrew - Programs ; Russian ; Spanish - Conversation Club ; Yiddish - Conversation Club,416-225-2112,,,,www.betelcentre.org,Adult In Home Respite Care ; Aging/Older Adult Support Groups ; Case/Care Management ~ Elder Abuse Victims ; Computer and Related Technology Classes ~ Older Adults ; Cultural Heritage Programs ~ Jewish Community ; Friendly Outreach Programs ~ Older Adults ; General Benefits Assistance ~ Older Adults ; General Recreational Activities/Sports ~ Older Adults ; Geriatric Assessment ; Home Delivered Meals ; In Person Crisis Intervention ~ Elder Abuse Victims ; Physical Fitness ~ Older Adults ; Podiatry/Foot Care ~ Older Adults ; Senior Centres ; Senior Meals ; Social Clubs/Events ~ Older Adults ; Social Clubs/Events ~ Russian Community ; Wellness Programs ~ Older Adults,"Membership fee -- $57.53 (+HST) * additional fees for some programs, services and events",Regional / Municipal - Community Service Partnerships (CSP) ; United Way - United Way Greater Toronto,Recreation (General),"Wheelchair accessible building including main entrance and barrier free washrooms * parking on site, close to entrance",Community Services,M2R 
20,Society of Saint Vincent de Paul,Martineau House,Martineau House,,"102 Ascolda Blvd Toronto, ON M1J 2P4",Toronto,M1J 2P4,Referral from Toronto Employment and Social Services -- see separate entry,,Permanent group home * capacity 4 * 24 hour staff support,Adults with developmental disabilities,info@ssvptoronto.ca,Call for hours,English,416-431-4147,"Isahack Rahim, Supervisor",,,www.ssvptoronto.ca,Supportive Housing for People with Disabilities ~ Developmental Disabilities,Unknown,,Community Services (General),Barrier-free washroom including door and stall ; Non-powered door at entrance with ramp from driveway,Community Services,M1J 
21,Big Brothers Big Sisters of Toronto,Big Brothers Big Sisters of Toronto,Big Brothers Big Sisters of Toronto,,"Edison Centre Building 2345 Yonge St, Suite 501 Toronto, ON M4P 2E5",Toronto,M4P 2E5,"Call, email or visit website * Little Brothers and Little Sisters -- enrollment inquiry form available online * adult volunteers -- download online pre-enrollment form",,"Child and youth volunteer-based mentoring programs * individual and group mentoring opportunities for youth, adults and couples * 1 year commitment requested for Big Brothers and Big Sisters volunteers in one-to-one and group programs One-to-one mentoring -- community based program matches a child with an adult volunteer for 2 hours a week or 4 hours bi-weekly Big Couples -- community based program matches a child with married or common law partners * volunteer couple jointly mentor Group Mentoring Programs -- Go Girls! and Game On! (boys) for children 11-14 years School Based Programs -- In-School Mentoring Program matches children grades 1-7 with adult volunteers 18 years and older * Pumped for Post-Secondary matches high school students with university or college student mentors Additional access point for services -- Albion Neighbourhood Services, Rexdale Multiservice Hub, 21 Panorama Crt, 416-925-8981 ext 4158, and Scarborough Centre for Healthy Communities, The Hub, Mid-Scarborough, 2660 Eglinton Ave E, Basement Level, 416-925-8981 ext 4134 (see separate entries) Satellite locations -- call 416-925-8981 for information on services at Agincourt Community Services Association, Dorset Park Hub, 1911 Kennedy Rd, Unit 105, and Unison Health and Community Services, Bathurst-Finch Hub, 540 Finch Ave (see separate entries)",Little Brothers or Little Sisters (Mentees) -- boys and girls 7-16 years at time of application Volunteers -- men and women 18 years and older (adults) * youth-led programs vary,infotoronto@bigbrothersbigsisters.ca,Office -- Mon-Fri 9 am-5 pm * closed holidays,English ; Interpreters available for some languages,416-925-8981,,,,toronto.bigbrothersbigsisters.ca,Adult/Child Mentoring Programs ; Higher Education Awareness/Support Programs ; Volunteer Opportunities,None,United Way - United Way Greater Toronto,Children and Youth,Designated parking at entrance - also street parking ; Wheelchair accessible automatic main entrance ; Easy access to the elevator ; Wheelchair accessible washroom including door and stall,Community Services,M4P 
22,Native Women's Resource Centre of Toronto,Native Women's Resource Centre of Toronto,Drop-in,,"191 Gerrard St E Toronto, ON M5A 2E5",Toronto,M5A 2E5,Drop in,,"Drop-in -- showers, laundry, clothing, shoes, feminine hygiene products * meal programs -- lunch Monday to Friday * member of Daily Bread Food Bank","Women of Aboriginal ancestry (Status, Non-Status, Métis, Inuit) or women with children of Aboriginal ancestry * meal programs open to all women * Aboriginal female youth of Aboriginal ancestry * Aboriginal self-identifying women, Trans or 2-Spirited people",info@nwrct.ca,"Mon-Fri 10 am-4:30 pm * some evening and weekend workshops Drop-in -- Tue, Thu-Fri 10 am-4:30 pm * Meal Programs: Lunch -- Mon-Fri 12:30 pm-1:30 pm",English ; Cree ; Ojibway,416-963-9963,,,,www.nwrct.ca,Community Meals ~ Indigenous Communities ; Food Preparation Facilities ; Formula/Baby Food ; Homeless Drop In Centres ~ Indigenous Communities ; Laundry Facilities ; Public Showers/Baths,None ; Associate memberships are also available for Aboriginal women living outside GTA,Regional / Municipal - Community Service Partnerships (CSP),Native Peoples,Wheelchair accessible automatic main entrance - side entrance with lift -- call for details ; Barrier-free washroom including door and stall,Community Services,M5A 
23,Working Women Community Centre,North York East Centre,Working Women Community Centre,North York East Centre,"5 Fairview Mall Dr, Suite 478 Toronto, ON M2J 2Z1",Toronto,M2J 2Z1,Call for appointment,,"Settlement services -- information and referral, orientation, interpretation, counselling, documentation, social assistance applications Women’s Support Services -- counselling and support groups for assaulted women * workshops LINC (Language Instruction for Newcomers to Canada) in English, upon assessment by YMCA of Greater Toronto, child minding provided -- see separate entry * ESL/introduction to computers Community Development and Engagement Programs -- conversational English * computer training for seniors * recreation and fitness * community garden",Immigrant and refugee women and their families,admin@workingwomencc.org,"Mon, Tue, Thu 8:30 am-9 pm, Wed 8:30 am-5 pm, Fri 8:30 am-4:30 pm",English ; Arabic ; Chinese (Mandarin) ; Farsi ; Portuguese ; Spanish,416-494-7978,"Lucy Fitzpatrick, LINC Manager; Phone: 416-494-7978 ext 432; Email: lfitzpatrick@workingwomencc.org",lfitzpatrick@workingwomencc.org,,www.workingwomencc.org,Abuse/Violence Related Support Groups ~ Immigrants/Refugees ~ Abused Women ; Community Gardens ; Computer and Related Technology Classes ~ Older Adults ~ Immigrants/Refugees ; Conversation Partners ~ Women ; Cultural Transition Counselling ~ Women ; English as a Second Language ; General Recreational Activities/Sports ~ Immigrants/Refugees ; Immigrant Benefits Assistance ~ Women ; Interpretation/Translation ~ Women ; Newcomer Settlement Services ~ Women ; Physical Fitness ~ Immigrants/Refugees ; Specialized Information and Referral ~ Immigrants/Refugees ; Spouse/Intimate Partner Abuse Counselling ~ Immigrants/Refugees ~ Abused Women,None,United Way - United Way Greater Toronto,Community Centres,Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall - 3rd floor,Community Services,M2J 
