id,title,price,sqft,image,url,post_published_date,lat,long,postal_code,FSA,rental_type,bedrooms,bathrooms,furnished,pet_friendly,description,source
k_1517891289,Bright 2 bedroom 2 Bathroom Condo ready for rent,2750,800,https://i.ebayimg.com/00/s/NTk4WDgwMA==/z/XIkAAOSwQF1fNdlX/$_27.JPG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bright-2-bedroom-2-bathroom-condo-ready-for-rent/1517891289,2020-08-14,43.6594307,43.6594307,M5A 0C2,M5A,condo,2,2,True,False,"Do Not Miss Out On This Bright & Modern 2 Bed/2 Bath Suite! Unobstructed, Stunning East Views W Open Concept Living, Dining & Kitchen Area. Beautiful Amenities: 24Hr Concierge, Basketball & 2 Squash Courts, Gym, Yoga Lounge, Party Room, Mixer Lounge, Outdoor Area With Bbqs. Steps To Dundas, College, Queen & King Streetcars. Aquatic Center Across The Street (Free).",Kijiji
k_1517890899,"1 Bdrm Condo for lease on 12th Floor, King St W Toronto Downtown",1900,480,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/0MIAAOSwyDBfNd0N/$_27.PNG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/629-king-st-w-1-bdrm-for-lease-near-toronto-downtown-12th-floor/1517890899,2020-08-14,43.644035,43.644035,M5V 0G9,M5V,condo,1,1,False,False,"Availability is September 1st, 2020, deeply cleaned unit and move in ready.
1 year lease or short term rental available.
- On the intersection of King and Bathurst
-Locker included*
- Most utilities included
- Steps away from Transit, short walk to financial center & near Toronto Downtown
- 12th floor suite with beautiful North facing views in King building.
- Lavelle rooftop restaurant and bar upstairs with outdoor pool and cabanas.
- Open concept lots of natural light in unit
- Floor to ceiling windows, hard wood floors
- 9ft Exposed concrete ceilings.
- Stainless Steel Appliances, Ensuite Laundry
- Built in oven, hood fan, dishwasher and fridge.
- High quality front loading washer and dryer.
- plenty of closet space.
Local amenities include TTC Public Transit, Restaurants, Shopping, Nightlife.
Building amenities include: Concierge, Exercise Room, Party/Meeting Room, Rooftop Deck/Garden, Security Guard, Visitor’s Parking
Required: Credit Report, Employment letter and Reference, Tenant Insurance, Key Deposit and signed rental agreement.
Contact: harjitdhother@hotmail.com or cell phone #6476067227",Kijiji
k_1517890676,1 BR + Den Condo near Bay and Gerrard St. W.,1900,650,http://img.youtube.com/vi/p1yZ18cCDpM/0.jpg,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-br-den-condo-near-bay-and-gerrard-st-w/1517890676,2020-08-14,43.658897,43.658897,M5G 2K2,M5G,condo,1,1,False,False,"This large, bright One-Bedroom + Solarium condo is conveniently located at The Liberties building on the north-east corner of Gerrard and Bay, in close proximity to U. of T., Hospital for Sick Children, Mt. Sinai, Princess Margaret, Toronto General, St. Michael's Hospitals, Eaton Centre, Dundas Square, Dundas&Yonge subway station, College Park, the downtown theaters and the business district.",Kijiji
k_1512376509,1 Bedroom For Rent - Forest Hill - Renovated - Family-Friendly,1809,689,https://i.ebayimg.com/00/s/NDg2WDY3Ng==/z/BGgAAOSwiYxfD2PC/$_27.JPG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-for-rent-forest-hill-renovated-family-friendly/1512376509,2020-08-14,43.7051417,43.7051417,M5N 1L1,M5N,apartment,1,1,False,True,"photos depict similar suite finishes, not actual suite",Kijiji
k_1506749795,Large Bachelor Apartment Downtown - Promo Available,1699,645,https://i.ebayimg.com/00/s/MTYwMFgxNjAw/z/gc4AAOSwalde6eDR/$_27.JPG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/large-bachelor-apartment-downtown-promo-available/1506749795,2020-08-14,43.6597813,43.6597813,M5B 2E8,M5B,apartment,0,1,False,True,Bachelor Apartment at Yonge and Gerrard!Ask about our Free Month's Rent and Cash Back Promotions!,Kijiji
k_1516638250,University&Dundas- Upgraded 1 bedroom condo- $1850 all inclusive,1850,500,https://i.ebayimg.com/00/s/NDQ0WDgwMA==/z/IgUAAOSwFKtfLWIf/$_27.JPG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/university-dundas-upgraded-1-bedroom-condo-1850-all-inclusive/1516638250,2020-08-07,43.6533871,43.6533871,M5T 2X7,M5T,condo,1,1,False,True,"Located in the heart of downtown Toronto;
The unit is newly upgraded (approx 500 sqft), spacious, bright with great layout;
All utilities are included (heat, Central A/C, hydro, water and cable TV);
Large balcony with unobstructed view;
Gym and swimming pool on site;
Please contact: Ted@ (647) 936-9458",Kijiji
k_1516032373,Brand new Condo for Rent in Downtown Toronto,2950,775,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/uQgAAOSwd0BfKQTZ/$_27.JPG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/brand-new-condo-for-rent-in-downtown-toronto/1516032373,2020-08-04,43.6574924,43.6574924,M5B 2C2,M5B,condo,3,1,False,False,"A three bedroom condo with a wrap around balcony corner unit with floor to ceiling windows ,aknever lived in brand new for rent the building has all the amenities pool theatre room exercise room gardens lounge and much more close to Ryerson University and the Eaton centre and Dundas square gardens ... right in the heart of downtown Toronto. Condo includes one parking space in the building and visitor parking .utilities will be additional to rent (hydro and water)",Kijiji
k_1512629016,Condo for rent - Junction Triangle - bedroom + den,1975,690,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/NqQAAOSwEVBfEQmF/$_27.JPG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/condo-for-rent-junction-triangle-bedroom-den/1512629016,2020-08-11,43.6642483,43.6642483,M6H4K6,M6H,condo,1,1,False,False,690 square feet in the heart of the trendy and family-friendly Junction Triangle. Parking and locker included with beautiful south facing view overlooking Toronto skyline. Designated den area makes working from home both comfortable and practical.,Kijiji
k_1512491444,2 Bedroom Renovated Apartment for Rent - 60 Tyndall Avenue,2299,798,https://i.ebayimg.com/00/s/NzY4WDExNTI=/z/xDYAAOSwyIFfKxJ-/$_27.JPG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-renovated-apartment-for-rent-60-tyndall-avenue/1512491444,2020-08-13,43.6358827,43.6358827,M6K 2E5,M6K,apartment,2,1,False,True,Please view our available units by clicking on the virtual tour below.,Kijiji
k_1517890389,The Dream Residence Suite 406,2000,647,http://img.youtube.com/vi/L9hdnd5qdQY/0.jpg,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/the-dream-residence-suite-406/1517890389,2020-08-14,43.722891,43.722891,M6A 0B9,M6A,condo,1,1,True,True,Imagine being right in the prime area of yorkdale and being only a 15 - 20-minute travel distance to Downtown Toronto,Kijiji
k_1517890337,GET APPROVED FOR SAFE FAMILY HOME,2097,720,https://i.ebayimg.com/00/s/NDU3WDgwMA==/z/pqQAAOSwiaBfNd2Q/$_27.JPG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/get-approved-for-safe-family-home/1517890337,2020-08-14,43.6854731,43.6854731,M6N 3S2,M6N,apartment,1,1,False,True,We all deserve one. Now is the time to take advantage of our service and make sure your family is secure.,Kijiji
k_1517890127,"Downtown furnished one bedroom for rent, all included",2300,600,https://i.ebayimg.com/00/s/NTk5WDgwMA==/z/T2EAAOSwrk5fNdug/$_27.JPG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/downtown-furnished-one-bedroom-for-rent-all-included/1517890127,2020-08-14,43.6565308,43.6565308,M5G 0A9,M5G,apartment,1,1,True,False,"one bedroom apartment in heart of downtown, 5 min walk to U of T, Ryerson university, Eaton center, 15 min walk to harbour front.. all utilities and internet is included. 24 hours concierge and security.. roof garden, playground for kids, and study room and library in the building,
for rent to women only",Kijiji
k_1517889646,Under Construction 1 Bedroom Brand New Apartment- Etobicoke-,1800,600,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/D0YAAOSwJoZfNdpC/$_27.JPG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/under-construction-1-bedroom-brand-new-apartment-etobicoke/1517889646,2020-08-14,43.6204946,43.6204946,M8W0B4,M8W,apartment,1,1,True,False,Modern/Bright 1 Bedroom Apartment in South Etobicoke! Available Sept 1st,Kijiji
k_1517889025,Avenue Road & St.Clair Large 1 Bed 1 Bath Unit Available Sept 1,1795,690,https://i.ebayimg.com/00/s/MjM2WDgwMA==/z/u24AAOSwlxRfNdlw/$_27.JPG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/avenue-road-st-clair-large-1-bed-1-bath-unit-available-sept-1/1517889025,2020-08-14,43.6844609,43.6844609,M4V 1J7,M4V,apartment,1,1,False,True,"Very spacious 1 Bed 1 Bath Apartment - 690 sq/ft, unfurnished
Available for September 1st.
St Clair Ave. and Avenue Rd, Toronto, ON
$1,795 / month",Kijiji
k_1517888999,Especial Condo - All Inclusive,2400,800,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/moAAAOSwjF9fNdab/$_27.JPG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/especial-condo-all-inclusive/1517888999,2020-08-14,43.7816907,43.7816907,M2M4J4,M2M,condo,2,1,True,False,"- No lineup for Elevator, No next door neighbor, an exceptional unit condition for controlling COVID-19,
- Raised walls, ample fresh air, comfortable condo in a well-managed and safe building next to TTC,
- Walk-in closet in the master bedroom, extra en-suit locker in the unit,
- Full adorable amenities in the building plus a private backyard/barbecue and roof garden, family friendly,
- Close to shopping malls, public schools and transportation,
- Home plan package with unlimited internet, phone and TV could be included at a reasonable charge,
- Could be either furnished or unfurnished, terms negotiable,
- if you are really interested please send a message or call.
Thank you.",Kijiji
k_1512268788,"560 Front St W, Toronto - Condo Unit Apartment for Rent",1900,500,https://i.ebayimg.com/00/s/NzY4WDExNTI=/z/BWsAAOSwD5NfDtKl/$_27.JPG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/560-front-st-w-toronto-condo-unit-apartment-for-rent/1512268788,2020-08-14,43.6413078,43.6413078,M5V 1C1,M5V,apartment,1,1,True,False,Watch the Video Tour and Apply here: https://almegaco.ca/rental-application/,Kijiji
k_1512268761,"25 Greenview Avenue, North York - Condo Unit Apartment for Rent",2000,600,https://i.ebayimg.com/00/s/NzY4WDExNTM=/z/SC8AAOSwuohfDtKe/$_27.JPG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/25-greenview-avenue-north-york-condo-unit-apartment-for-rent/1512268761,2020-08-14,43.780659,43.780659,M2M 0A5,M2M,apartment,1,1,False,False,Watch the Video Tour and Apply here: https://almegaco.ca/rental-application/,Kijiji
k_1517888546,Clean & Spacious Studio/26th Flr/Move in Oct.1/Utilities include,1650,400,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/6z8AAOSwYkdfNdcp/$_27.JPG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/clean-spacious-studio-26th-flr-move-in-oct-1-utilities-include/1517888546,2020-08-14,43.6687178,43.6687178,M4Y 1S2,M4Y,condo,0,1,False,False,"Looking for a good long-term tenant for this beautiful 26th floor Studio unit in a well-manage luxury condo in Upscale Yorkville Neighbourhood. Steps to Subway Station, Shopping, Grocery and Restaurants. Close to U of T, Ryerson University. 9Ft Ceiling, High-end appliances and finishes. Very well kept & clean unit. Enjoy the beautiful sunset view on the balcony! You will love the location and the neighbourhood! Ensuite laundry.
Move in condition. Available to move in October 1, 2020. Rent include all utilities (except Hydro). Building has many great amenities: 24 hrs Concierge, Gym, media room, meeting & party room, guest suite.
No pet/non-smoker only! Employment letter, income proof and credit report with credit score will be required. Tenant liability and content insurance will be required during lease term. Please email for showing appointments. Due to COVID situation unit will only be shown in person to serious and qualified prospects. Video tour of the unit is available for pre-screen upon request. Thank you to all that shown interests!",Kijiji
k_1517888385,Oct 1st - Bedroom and Private Bath for Rent in Gorgeous Condo,1100,750,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/UXkAAOSwOhVfNdjf/$_27.JPG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/oct-1st-bedroom-and-private-bath-for-rent-in-gorgeous-condo/1517888385,2020-08-14,43.7080883,43.7080883,M6L 1A9,M6L,condo,2,2,False,False,Rent a private bedroom and private bathroom in a beautiful uptown condo for $1100 /m utilities and internet included!,Kijiji
k_1517888043,Condo for rent in Scarborough,2300,800,https://i.ebayimg.com/00/s/NzQwWDE2MDA=/z/LIgAAOSwX4BfNdgl/$_27.JPG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/condo-for-rent-in-scarborough/1517888043,2020-08-14,43.7744016,43.7744016,M1H0A2,M1H,condo,2,2,False,False,"Located at 88 Grangeway Ave Unit #1007. This condo has 2 bedrooms and 2 bathrooms. Views are to the East from this property. Step outside onto the open balcony. The property's amenities include Concierge, Exercise Room, Indoor Pool, Party/Meeting Room, Security Guard, Visitor Parking. This property comes with 1 parking spots also comes with a locker. Water is included.
Please contact for more details
Dimitri - 416 7046912
The condo is located in the area of Scarborough town center
Please click on the link below for a tour
http://m2.myvisuallistings.com/vtnb/274407",Kijiji
k_1517887635,A stunning one-bed room condo for rent (High Park and the Lake),1750,557,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/H2wAAOSw4WJfNde8/$_27.JPG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/a-stunning-one-bed-room-condo-for-rent-high-park-and-the-lake/1517887635,2020-08-14,43.6369251,43.6369251,M6S 5A2,M6S,condo,1,1,False,False,"This well-maintained one-bedroom condo unit is perfect for single professional or one couple to live just next to Lake Ontario and High Park. The laundry and dryer are brand new. Heat, electricity, and water are all included. Parking spot is not included. However, it is easy to rent one underground parking spot in the building. Annual household income of $50,000 or above is required.",Kijiji
k_1517143294,Bright  & Spacious 1 Bed Condo in the Annex/Yorkville,3295,750,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/U0IAAOSwi29fMKjO/$_27.JPG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bright-spacious-1-bed-condo-in-the-annex-yorkville/1517143294,2020-08-14,43.6694691,43.6694691,M5R 2N4,M5R,condo,1,1,True,False,"Newly renovated condo on tree-lined street in the Annex/Yorkville, steps away from restaurants, shops, museums and UofT campus. Filled with natural light, this spacious one bedroom/one bathroom condo (750 sq ft) features a large private balcony and high-end modern furniture.",Kijiji
k_1517886605,Brand new 1bed plus den for rent in etobicoke!,2050,600,https://i.ebayimg.com/00/s/NjQ3WDY0MA==/z/wcsAAOSwa1pfNdYi/$_27.JPG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/brand-new-1bed-plus-den-for-rent-in-etobicoke/1517886605,2020-08-14,43.6451535,43.6451535,M8X 2X4,M8X,apartment,1,1,False,False,"Location: Islington and Bloor, Etobicoke
Price: $2050
Available: August 17, 2020
Bedrooms: 1+1
Bathrooms: 1
Parking: 1
Washer and Dryer are both in unit
Direction: facing southwest
No Smoking
Utilities: Internet included!
Tenant pays their own electricity.
Brand new apartment, never lived in before. Only 1 minute walk to the Islington subway station!
1 Parking Spot included",Kijiji
k_1517886228,"*Prime Location Condo,* Steps to Subway.*All Inclusive*",1500,500,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/3PAAAOSw5eBfNdT~/$_27.JPG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/prime-location-condo-steps-to-subway-all-inclusive/1517886228,2020-08-14,43.7170839,43.7170839,M6A3E8,M6A,condo,0,1,False,False,"Lawrence West Subway* Bachelor unit * All Inclusive*
Bright and spacious condo,
Living/Sleeping Area,
Fully air conditioned and air heated.
Spacious Kitchen,
Some New appliances
Fridge, Stove, Built-In Dishwasher
Oversized Closet.
Security 6PM - 6AM.
Quiet Well Maintained Building.
Steps To TTC, Lawrence West Subway,
Minutes To Yorkdale Mall,
Underground visitors parking
Worry free tenancy.
Short terms /Long terms available.
Can be fully furnished.
Good for a single working professional or a couple.",Kijiji
k_1517886213,"1 BEDROOM MAIN FLOOR, LARGE LIVING ROOM, 3 CLOSETS, LAUNDRY, PAR",1700,650,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/0QAAAOSwOFJfNdU5/$_27.JPG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-main-floor-large-living-room-3-closets-laundry-par/1517886213,2020-08-14,43.6749959,43.6749959,M6H 2S3,M6H,apartment,1,1,False,False,10 MOUNT ROYAL AVE -OSSINGTON & DAVENPORT,Kijiji
k_1517886133,"1000sqft 2bdrm condo near downtown, subway with utilties inc.",2250,1000,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/EaAAAOSwofVfNdSp/$_27.JPG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1000sqft-2bdrm-condo-near-downtown-subway-with-utilties-inc/1517886133,2020-08-14,43.6843557,43.6843557,M6C 2K7,M6C,condo,2,1,True,False,"Charming New York Style 1920S Boutique Low Rise Condo Building with Open Concept Living. It is a beautiful condo with new hardwood floors and freshly painted for your move. I Will need references (professional and from existing landlord), a credit check, fist & last month’s rent, bank statements for last 3 months and a letter of employment. Smoking & Pets are not allowed.
Location: M6C 2K7 (Near St. Clair Subway Station)
Available: September 1, 2020
Bedrooms: 2
Bathrooms: 1
Building: Heathwood Manor Is a Boutique 1920'S Condo in The Heart Of Desirable Hillcrest Village.
• 4 Minute Walk to St. Clair West subway station (University Line),
• 1 Minute to St. Clair Streetcar and 2 minutes to Bus # 7 (24-hr service) along Bathurst Str.
• Lots of shopping nearby – Loblaws is at a 5-minute walk and 24-Hr Shopper’s is a 2-minute walk
• Drake’s favorite ice cream shop, Dutch Dreams, and Starbucks are a 2-minute walk
• 10-minute stroll to Wychwood Barns Park & Nordheimer Ravine
• Parking lot available for extra $100 / month if needed
• Walk Score of 86 and close to numerous schools
Rent Includes: all utilities except high speed internet & cable.
Appliances: Fridge, stove, Dishwasher, Microwave
Furniture: queen size bed with firm memory foam mattress, bed side tables, dining table set, TV, a large sectional sofa bed, leather futon sofa/bed, a coffee table, storage cabinets, Desk and Office Chair, Twin size bed with firm twin size memory foam mattress.
Kitchen: Full set of dishes, cutlery and cooking pots and pans, storage containers
Building Amenities: Use of a locker downstairs, Laundry, Bike Rack
Parking: Spot available for $75/month or street parking by permit.",Kijiji
k_1517885785,APPLICATIONS APPROVED FOR GOOD RENTERS,2054,710,https://i.ebayimg.com/00/s/NTk3WDgwMA==/z/bkUAAOSwNmhfNdO8/$_27.JPG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/applications-approved-for-good-renters/1517885785,2020-08-14,43.6817264,43.6817264,M9R 2X9,M9R,apartment,1,1,False,True,Our experts will help you apply and get approved to move into a new apartment.,Kijiji
k_1513846336,Room for rent in Scarborough (Den-private room),575,75,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/Ra8AAOSwYMFfGbUa/$_27.JPG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/room-for-rent-in-scarborough-den-private-room/1513846336,2020-07-23,43.787277,43.787277,M1E 4X2,M1E,apartment,1,1,True,False,"Female only PrivateRoom for Rent (Den) - Female from Sept 1 st st 2020 to Apr 30 2021
Morning side / Ellesmere Rd Scarborough
Female only $575/month
Condo townhouse, very closed to University of Toronto Scarborough / Centennial College Morningside Campus, just walking distance.
100 Mornelle Crt. scarborough.
Kitchen and bathroom are shared. room is furnished with single bed, shelf, desk,chair
Current tenants are student and working single female.
Landlord pays utilities. Available now. Absolutely no pets and no smoking.
free wifi internet
utilities included
Reference required
Call or text Jeban at 647-283 7602
email: jeban@rolltool.com",Kijiji
k_1512491005,"2360 Weston Road - 0 Bedroom, 1 Bathroom for Rent",1309,284,https://i.ebayimg.com/00/s/NzY4WDExNTI=/z/vQcAAOSwpJhfEF~k/$_27.JPG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2360-weston-road-0-bedroom-1-bathroom-for-rent/1512491005,2020-08-13,43.7058616,43.7058616,M9N 1Y9,M9N,apartment,0,1,False,True,Gorgeous Bachelor / Studio Suite available August 01 2020.  Call us today for more details and to book a showing.,Kijiji
k_1516602853,2 Bedrooms Move-in Today! Apartment for Rent - 837 Roselawn...,2499,830,https://i.ebayimg.com/00/s/NzY4WDExNTI=/z/l8gAAOSw3ktfLSzP/$_27.JPG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedrooms-move-in-today-apartment-for-rent-837-roselawn/1516602853,2020-08-11,43.7022136,43.7022136,M6B 1B5,M6B,apartment,2,1,False,True,Please view our available units by clicking on the virtual tour below.,Kijiji
